,Unnamed: 0,count,functional_group,log_count,0,error
1,secondary amine,7193,secondary amine,3.8569100603007858,2.3649260251552846,2.3649260251552846
4,primary amine,8700,primary amine,3.9395192526186182,1.2361976713545841,1.2361976713545841
6,ketone,2694,ketone,3.430397591386966,0.7080807975391963,0.7080807975391963
7,alkene,12999,alkene,4.113909943754037,0.8993077062103363,0.8993077062103363
10,heterocyclic compound,29533,heterocyclic compound,4.470307565396138,1.7626157626509633,1.7626157626509633
11,carboxylic acid amidine,2609,carboxylic acid amidine,3.4164740791002206,1.066236375392204,1.066236375392204
14,primary carboxylic acid amide,792,primary carboxylic acid amide,2.898725181589493,0.3757048880599996,0.3757048880599996
15,carboxylic acid,757,carboxylic acid,2.8790958795000727,0.7474979072690076,0.7474979072690076
17,aldehyde,3448,aldehyde,3.5375672571526757,2.17927424461476,2.17927424461476
18,carbonitrile,3517,carbonitrile,3.5461723683169426,1.2830853627760235,1.2830853627760235
19,enamine,2103,enamine,3.322839272686321,0.9812012515602268,0.9812012515602268
20,secondary carboxylic acid amide,1461,secondary carboxylic acid amide,3.1646502159342966,1.1948882458905852,1.1948882458905852
21,hydrazone,2502,hydrazone,3.3982873053574014,0.9121203538849537,0.9121203538849537
22,hydrazine derivative,8048,hydrazine derivative,3.905687967711852,0.9138225523742914,0.9138225523742914
23,enol ether,2319,enol ether,3.365300748637988,1.3916917858027773,1.3916917858027773
24,carboxylic acid ester,1228,carboxylic acid ester,3.0891983668051486,0.5049897525186301,0.5049897525186301
26,guanidine,866,guanidine,2.937517892017347,2.0487068638304984,2.0487068638304984
28,carboxylic acid hydrazide,693,carboxylic acid hydrazide,2.8407332346118066,2.514263339708956,2.514263339708956
30,lactam,769,lactam,2.8859263398014314,1.1059958386020368,1.1059958386020368
31,lactone,553,lactone,2.7427251313046983,0.6292446660163762,0.6292446660163762
34,oxime,1140,oxime,3.0569048513364727,0.9181429144682625,0.9181429144682625
35,isourea,505,isourea,2.7032913781186614,1.1404487884464742,1.1404487884464742
38,urea,459,urea,2.6618126855372606,0.6889571324801788,0.6889571324801788
40,hydroxylamine,1314,hydroxylamine,3.118595365223762,1.572198991717471,1.572198991717471
43,tertiary carboxylic acid amide,563,tertiary carboxylic acid amide,2.7505083948513462,0.17170956612369537,0.17170956612369537
47,ketene acetal or derivative,187,ketene acetal or derivative,2.271841606536499,0.2318302534350778,0.2318302534350778
49,"carboxylic acid imide, N-unsubstituted",110,"carboxylic acid imide, N-unsubstituted",2.041392685158225,0.4855516212949927,0.4855516212949927
52,phenol or hydroxyhetarene,1415,phenol or hydroxyhetarene,3.150756439860309,1.6127261272813813,1.6127261272813813
53,aromatic compound,7888,aromatic compound,3.8969669019331543,2.138482870277242,2.138482870277242
54,primary aromatic amine,1436,primary aromatic amine,3.1571544399062814,1.2409681609673495,1.2409681609673495
55,oxo(het)arene,1183,oxo(het)arene,3.0729847446279304,2.15486775685103,2.15486775685103
57,secondary aliphatic/aromatic amine (alkylarylamine),358,secondary aliphatic/aromatic amine (alkylarylamine),2.5538830266438746,2.3649260251552846,2.3649260251552846
59,alkyl aryl ether,372,alkyl aryl ether,2.5705429398818973,1.7328619395603255,1.7328619395603255
60,imine,84,imine,1.9242792860618816,2.102057643429258,2.102057643429258
61,imido ester,11,imido ester,1.041392685158225,0.13302447088676672,0.13302447088676672
63,enol,8,enol,0.9030899869919436,1.4321146114766459,1.4321146114766459
71,nitro compound,26,nitro compound,1.414973347970818,5.11305493411759,5.11305493411759
