,Unnamed: 0,count,functional_group,log_count,0,error
1,secondary amine,7193,secondary amine,3.8569100603007858,0.39925587474112945,0.39925587474112945
4,primary amine,8700,primary amine,3.9395192526186182,0.2217997549222242,0.2217997549222242
6,ketone,2694,ketone,3.430397591386966,0.5184818250085451,0.5184818250085451
7,alkene,12999,alkene,4.113909943754037,0.6920580515600014,0.6920580515600014
10,heterocyclic compound,29533,heterocyclic compound,4.470307565396138,0.36522213011358007,0.36522213011358007
11,carboxylic acid amidine,2609,carboxylic acid amidine,3.4164740791002206,0.6529307412550095,0.6529307412550095
14,primary carboxylic acid amide,792,primary carboxylic acid amide,2.898725181589493,0.3473013005158805,0.3473013005158805
15,carboxylic acid,757,carboxylic acid,2.8790958795000727,0.15373400231631726,0.15373400231631726
17,aldehyde,3448,aldehyde,3.5375672571526757,0.5047016771314248,0.5047016771314248
18,carbonitrile,3517,carbonitrile,3.5461723683169426,0.5005058108887965,0.5005058108887965
19,enamine,2103,enamine,3.322839272686321,0.7765094639617018,0.7765094639617018
20,secondary carboxylic acid amide,1461,secondary carboxylic acid amide,3.1646502159342966,0.633481897373152,0.633481897373152
21,hydrazone,2502,hydrazone,3.3982873053574014,0.8469395050616034,0.8469395050616034
22,hydrazine derivative,8048,hydrazine derivative,3.905687967711852,0.4726913942842516,0.4726913942842516
23,enol ether,2319,enol ether,3.365300748637988,0.6540251970300991,0.6540251970300991
24,carboxylic acid ester,1228,carboxylic acid ester,3.0891983668051486,0.5088017315752419,0.5088017315752419
26,guanidine,866,guanidine,2.937517892017347,0.32857903174807274,0.32857903174807274
28,carboxylic acid hydrazide,693,carboxylic acid hydrazide,2.8407332346118066,0.4766997322705417,0.4766997322705417
30,lactam,769,lactam,2.8859263398014314,0.5533663684802133,0.5533663684802133
31,lactone,553,lactone,2.7427251313046983,0.1408144944145988,0.1408144944145988
34,oxime,1140,oxime,3.0569048513364727,0.1387810305226746,0.1387810305226746
35,isourea,505,isourea,2.7032913781186614,1.1020144568460637,1.1020144568460637
38,urea,459,urea,2.6618126855372606,0.6256751525861546,0.6256751525861546
40,hydroxylamine,1314,hydroxylamine,3.118595365223762,0.37247186956363976,0.37247186956363976
43,tertiary carboxylic acid amide,563,tertiary carboxylic acid amide,2.7505083948513462,0.133484994108926,0.133484994108926
47,ketene acetal or derivative,187,ketene acetal or derivative,2.271841606536499,0.72548547532881,0.72548547532881
49,"carboxylic acid imide, N-unsubstituted",110,"carboxylic acid imide, N-unsubstituted",2.041392685158225,0.5018729657911081,0.5018729657911081
52,phenol or hydroxyhetarene,1415,phenol or hydroxyhetarene,3.150756439860309,0.2921047357203354,0.2921047357203354
53,aromatic compound,7888,aromatic compound,3.8969669019331543,0.29639102122827327,0.29639102122827327
54,primary aromatic amine,1436,primary aromatic amine,3.1571544399062814,0.21933145317649405,0.21933145317649405
55,oxo(het)arene,1183,oxo(het)arene,3.0729847446279304,0.3416907116590319,0.3416907116590319
57,secondary aliphatic/aromatic amine (alkylarylamine),358,secondary aliphatic/aromatic amine (alkylarylamine),2.5538830266438746,0.39925587474112945,0.39925587474112945
59,alkyl aryl ether,372,alkyl aryl ether,2.5705429398818973,0.4292670329073644,0.4292670329073644
60,imine,84,imine,1.9242792860618816,0.6893893580568974,0.6893893580568974
61,imido ester,11,imido ester,1.041392685158225,0.1414504295437382,0.1414504295437382
63,enol,8,enol,0.9030899869919436,0.6769635311765552,0.6769635311765552
71,nitro compound,26,nitro compound,1.414973347970818,0.5266657314655189,0.5266657314655189
