,count,functional_group,log_count
secondary alcohol,4268,secondary alcohol,3.630224410752432
secondary amine,7193,secondary amine,3.856910060300786
secondary aliphatic amine (dialkylamine),6835,secondary aliphatic amine (dialkylamine),3.834738518903841
dialkyl ether,6850,dialkyl ether,3.8356905714924254
primary amine,8700,primary amine,3.9395192526186187
primary aliphatic amine (alkylamine),7303,primary aliphatic amine (alkylamine),3.86350130064145
ketone,2694,ketone,3.4303975913869666
alkene,12999,alkene,4.113909943754037
primary alcohol,4155,primary alcohol,3.61857102812013
"1,2-aminoalcohol",1485,"1,2-aminoalcohol",3.171726453653231
heterocyclic compound,29533,heterocyclic compound,4.470307565396138
carboxylic acid amidine,2609,carboxylic acid amidine,3.4164740791002206
tertiary amine,2297,tertiary amine,3.361160995195026
tertiary aliphatic amine (trialkylamine),2234,tertiary aliphatic amine (trialkylamine),3.34908316877959
primary carboxylic acid amide,792,primary carboxylic acid amide,2.8987251815894934
carboxylic acid,757,carboxylic acid,2.8790958795000727
"1,2-diol",487,"1,2-diol",2.6875289612146345
aldehyde,3448,aldehyde,3.5375672571526753
carbonitrile,3517,carbonitrile,3.5461723683169426
enamine,2103,enamine,3.322839272686321
secondary carboxylic acid amide,1461,secondary carboxylic acid amide,3.1646502159342966
hydrazone,2502,hydrazone,3.398287305357401
hydrazine derivative,8048,hydrazine derivative,3.9056879677118523
enol ether,2319,enol ether,3.3653007486379876
carboxylic acid ester,1228,carboxylic acid ester,3.089198366805149
oxime ether,1354,oxime ether,3.1316186643491255
guanidine,866,guanidine,2.937517892017347
carboxylic acid amidrazone,1091,carboxylic acid amidrazone,3.037824750588342
carboxylic acid hydrazide,693,carboxylic acid hydrazide,2.8407332346118066
alkyne,5310,alkyne,3.725094521081469
lactam,769,lactam,2.885926339801431
lactone,553,lactone,2.7427251313046983
semicarbazone,48,semicarbazone,1.6812412373755872
acetal,842,acetal,2.9253120914996495
oxime,1140,oxime,3.0569048513364727
isourea,505,isourea,2.7032913781186614
carbamic acid,108,carbamic acid,2.03342375548695
tertiary alcohol,1234,tertiary alcohol,3.091315159697223
urea,459,urea,2.661812685537261
carbamic acid ester (urethane),258,carbamic acid ester (urethane),2.41161970596323
hydroxylamine,1314,hydroxylamine,3.118595365223762
carbonic acid diester,54,carbonic acid diester,1.7323937598229686
hydroxamic acid,360,hydroxamic acid,2.5563025007672873
tertiary carboxylic acid amide,563,tertiary carboxylic acid amide,2.7505083948513462
"carboxylic acid imide, N-substituted",125,"carboxylic acid imide, N-substituted",2.0969100130080562
semicarbazide,150,semicarbazide,2.1760912590556813
acyl cyanide,90,acyl cyanide,1.9542425094393248
ketene acetal or derivative,187,ketene acetal or derivative,2.271841606536499
alpha-aminoacid,76,alpha-aminoacid,1.8808135922807914
"carboxylic acid imide, N-unsubstituted",110,"carboxylic acid imide, N-unsubstituted",2.041392685158225
carbonic acid monoester,18,carbonic acid monoester,1.255272505103306
carbonic acid derivative,11,carbonic acid derivative,1.041392685158225
phenol or hydroxyhetarene,1415,phenol or hydroxyhetarene,3.150756439860309
aromatic compound,7888,aromatic compound,3.8969669019331548
primary aromatic amine,1436,primary aromatic amine,3.1571544399062814
oxo(het)arene,1183,oxo(het)arene,3.0729847446279304
imino(het)arene,1452,imino(het)arene,3.161966616364075
secondary aliphatic/aromatic amine (alkylarylamine),358,secondary aliphatic/aromatic amine (alkylarylamine),2.5538830266438746
nitroso compound,21,nitroso compound,1.3222192947339193
alkyl aryl ether,372,alkyl aryl ether,2.5705429398818973
imine,84,imine,1.9242792860618816
imido ester,11,imido ester,1.041392685158225
"1,2-diphenol",12,"1,2-diphenol",1.0791812460476249
enol,8,enol,0.9030899869919435
isonitrile,1,isonitrile,0.0
ketene,2,ketene,0.3010299956639812
azo compound,28,azo compound,1.4471580313422192
nitrite,1,nitrite,0.0
hydroperoxide,1,hydroperoxide,0.0
alpha-hydroxyacid,42,alpha-hydroxyacid,1.6232492903979006
tertiary aliphatic/aromatic amine (alkylarylamine),63,tertiary aliphatic/aromatic amine (alkylarylamine),1.7993405494535817
nitro compound,26,nitro compound,1.414973347970818
carboxylic acid anhydride,56,carboxylic acid anhydride,1.7481880270062005
carbodiimide,3,carbodiimide,0.47712125471966244
hemiaminal,1,hemiaminal,0.0
diazonium salt,5,diazonium salt,0.6989700043360189
quaternary ammonium salt,1,quaternary ammonium salt,0.0
isocyanate,3,isocyanate,0.47712125471966244
