,Unnamed: 0,count,functional_group,log_count,0,error
1,secondary amine,7193,secondary amine,3.8569100603007858,0.6890665084764009,0.6890665084764009
4,primary amine,8700,primary amine,3.9395192526186182,0.2620669225695528,0.2620669225695528
6,ketone,2694,ketone,3.430397591386966,0.31453951705580757,0.31453951705580757
7,alkene,12999,alkene,4.113909943754037,0.27539025034542614,0.27539025034542614
10,heterocyclic compound,29533,heterocyclic compound,4.470307565396138,0.6833308929005525,0.6833308929005525
11,carboxylic acid amidine,2609,carboxylic acid amidine,3.4164740791002206,0.8336659293585009,0.8336659293585009
14,primary carboxylic acid amide,792,primary carboxylic acid amide,2.898725181589493,0.12967458742059534,0.12967458742059534
15,carboxylic acid,757,carboxylic acid,2.8790958795000727,0.678535094365088,0.678535094365088
17,aldehyde,3448,aldehyde,3.5375672571526757,1.6521735838066092,1.6521735838066092
18,carbonitrile,3517,carbonitrile,3.5461723683169426,0.988367640973172,0.988367640973172
19,enamine,2103,enamine,3.322839272686321,0.594557484949784,0.594557484949784
20,secondary carboxylic acid amide,1461,secondary carboxylic acid amide,3.1646502159342966,0.8686560827724711,0.8686560827724711
21,hydrazone,2502,hydrazone,3.3982873053574014,0.22499457284372207,0.22499457284372207
22,hydrazine derivative,8048,hydrazine derivative,3.905687967711852,0.46670179778024723,0.46670179778024723
23,enol ether,2319,enol ether,3.365300748637988,0.40816021594514496,0.40816021594514496
24,carboxylic acid ester,1228,carboxylic acid ester,3.0891983668051486,0.12180951247485912,0.12180951247485912
26,guanidine,866,guanidine,2.937517892017347,3.078672238347707,3.078672238347707
28,carboxylic acid hydrazide,693,carboxylic acid hydrazide,2.8407332346118066,0.19153604816688127,0.19153604816688127
30,lactam,769,lactam,2.8859263398014314,0.6536263191021064,0.6536263191021064
31,lactone,553,lactone,2.7427251313046983,0.14588942136512628,0.14588942136512628
34,oxime,1140,oxime,3.0569048513364727,0.30651136035301835,0.30651136035301835
35,isourea,505,isourea,2.7032913781186614,1.223048080865078,1.223048080865078
38,urea,459,urea,2.6618126855372606,0.873907729880178,0.873907729880178
40,hydroxylamine,1314,hydroxylamine,3.118595365223762,1.7888270488256808,1.7888270488256808
43,tertiary carboxylic acid amide,563,tertiary carboxylic acid amide,2.7505083948513462,0.23531906170876482,0.23531906170876482
47,ketene acetal or derivative,187,ketene acetal or derivative,2.271841606536499,0.6595871563883975,0.6595871563883975
49,"carboxylic acid imide, N-unsubstituted",110,"carboxylic acid imide, N-unsubstituted",2.041392685158225,0.5271069374932723,0.5271069374932723
52,phenol or hydroxyhetarene,1415,phenol or hydroxyhetarene,3.150756439860309,0.35907780355631,0.35907780355631
53,aromatic compound,7888,aromatic compound,3.8969669019331543,0.7488000366275028,0.7488000366275028
54,primary aromatic amine,1436,primary aromatic amine,3.1571544399062814,0.22107389646486403,0.22107389646486403
55,oxo(het)arene,1183,oxo(het)arene,3.0729847446279304,0.5090902717414523,0.5090902717414523
57,secondary aliphatic/aromatic amine (alkylarylamine),358,secondary aliphatic/aromatic amine (alkylarylamine),2.5538830266438746,0.6890665084764009,0.6890665084764009
59,alkyl aryl ether,372,alkyl aryl ether,2.5705429398818973,0.7593416339281248,0.7593416339281248
60,imine,84,imine,1.9242792860618816,1.1034467969404267,1.1034467969404267
61,imido ester,11,imido ester,1.041392685158225,0.45039744422615513,0.45039744422615513
63,enol,8,enol,0.9030899869919436,0.7863649166336717,0.7863649166336717
71,nitro compound,26,nitro compound,1.414973347970818,4.38549686101245,4.38549686101245
