,Unnamed: 0,count,functional_group,log_count,0,error
2,primary amine,9950,primary amine,3.9978230807457256,0.34276476374706627,0.34276476374706627
4,ketone,6274,ketone,3.7975445143617264,0.1969609520893344,0.1969609520893344
6,carboxylic acid,3820,carboxylic acid,3.582063362911709,0.26437919284777917,0.26437919284777917
8,aldehyde,3641,aldehyde,3.5612206789339442,0.2895627362515484,0.2895627362515484
10,carboxylic acid ester,3700,carboxylic acid ester,3.5682017240669954,0.09228929678795339,0.09228929678795339
11,lactone,1244,lactone,3.0948203803547996,0.10285104073548723,0.10285104073548723
12,heterocyclic compound,39585,heterocyclic compound,4.597530649275732,0.34275633475537554,0.34275633475537554
13,carbonitrile,4474,carbonitrile,3.65069597976061,0.3515854785763963,0.3515854785763963
14,aromatic compound,12231,aromatic compound,4.087461966171819,0.38800643298817983,0.38800643298817983
16,phenol or hydroxyhetarene,1351,phenol or hydroxyhetarene,3.1306553490220312,0.45439812035391536,0.45439812035391536
17,urea,327,urea,2.514547752660286,0.26781505703994907,0.26781505703994907
18,primary aromatic amine,1315,primary aromatic amine,3.1189257528257768,0.3260853276396598,0.3260853276396598
20,primary carboxylic acid amide,384,primary carboxylic acid amide,2.5843312243675305,0.12473819599642866,0.12473819599642866
21,guanidine,920,guanidine,2.9637878273455556,0.3135861818661662,0.3135861818661662
26,hydroxylamine,3046,hydroxylamine,3.483729899000024,0.675611001924608,0.675611001924608
29,enol,983,enol,2.9925535178321354,0.33839642161052114,0.33839642161052114
31,nitro compound,835,nitro compound,2.9216864754836025,0.4352769427529036,0.4352769427529036
32,alkene,19452,alkene,4.2889642608961385,0.20225043262895143,0.20225043262895143
33,"carboxylic acid imide, N-unsubstituted",95,"carboxylic acid imide, N-unsubstituted",1.977723605288848,0.2082279204473707,0.2082279204473707
34,alkyl aryl ether,555,alkyl aryl ether,2.7442929831226763,0.26055927477864316,0.26055927477864316
35,secondary carboxylic acid amide,442,secondary carboxylic acid amide,2.645422269349092,0.5245413198653144,0.5245413198653144
36,lactam,682,lactam,2.833784374656479,0.3801354997452703,0.3801354997452703
39,oxo(het)arene,933,oxo(het)arene,2.9698816437465,0.5339420551302039,0.5339420551302039
40,secondary amine,7273,secondary amine,3.8617135875714337,0.5091379069601771,0.5091379069601771
42,oxime,519,oxime,2.7151673578484576,0.1801130915447781,0.1801130915447781
45,imine,3719,imine,3.5704261783589724,0.34213954034531857,0.34213954034531857
46,carboxylic acid amidine,1309,carboxylic acid amidine,3.116939646550756,0.1800609253690644,0.1800609253690644
51,enamine,3728,enamine,3.571475903681944,0.10955222701261391,0.10955222701261391
54,hydrazine derivative,5034,hydrazine derivative,3.7019132112123434,0.2817241782506807,0.2817241782506807
60,secondary aliphatic/aromatic amine (alkylarylamine),284,secondary aliphatic/aromatic amine (alkylarylamine),2.453318340047037,0.5091379069601771,0.5091379069601771
61,tertiary carboxylic acid amide,1187,tertiary carboxylic acid amide,3.074450718954591,0.15644652336823128,0.15644652336823128
65,enol ether,1936,enol ether,3.2869053529723753,0.07302331213675946,0.07302331213675946
67,carboxylic acid hydrazide,343,carboxylic acid hydrazide,2.5352941200427703,0.5019418740331881,0.5019418740331881
76,imido ester,559,imido ester,2.7474118078864236,0.3136914470104557,0.3136914470104557
80,hydrazone,562,hydrazone,2.749736315569061,0.31349276293637257,0.31349276293637257
86,ketene acetal or derivative,787,ketene acetal or derivative,2.8959747323590648,0.23648878168489773,0.23648878168489773
90,isourea,1259,isourea,3.100025730107862,0.5592184904542363,0.5592184904542363
