,Unnamed: 0,count,functional_group,log_count,0,error
1,carbonitrile,16421.0,carbonitrile,4.21539960109389,2.461975815161213,2.461975815161213
2,aldehyde,13514.0,aldehyde,4.130783914588957,1.8544287996134243,1.8544287996134243
4,primary carboxylic acid amide,2256.0,primary carboxylic acid amide,3.3533390953113047,0.02862439681928209,0.02862439681928209
6,heterocyclic compound,90651.0,heterocyclic compound,4.957372599298449,1.4534739220129171,1.4534739220129171
7,ketone,14478.0,ketone,4.160708572292428,1.126633403551098,1.126633403551098
8,urea,1196.0,urea,3.077731179652392,0.9092643134571667,0.9092643134571667
11,primary amine,6846.0,primary amine,3.8354368948018585,0.8301305934029585,0.8301305934029585
13,secondary carboxylic acid amide,5631.0,secondary carboxylic acid amide,3.7505855273410087,0.7317652265346017,0.7317652265346017
14,carboxylic acid ester,5290.0,carboxylic acid ester,3.7234556720351857,0.08279662378570644,0.08279662378570644
18,oxime,1860.0,oxime,3.269512944217916,1.96660237534032,1.96660237534032
19,aromatic compound,20728.0,aromatic compound,4.316557399977769,1.1606046457576336,1.1606046457576336
21,tertiary carboxylic acid amide,3419.0,tertiary carboxylic acid amide,3.5338991007965945,0.009835091913942051,0.009835091913942051
22,imido ester,8184.0,imido ester,3.912965620704104,0.27698457070857785,0.27698457070857785
24,lactam,4693.0,lactam,3.671450554212495,0.500299658832406,0.500299658832406
25,lactone,3074.0,lactone,3.4877038631637265,0.08886616459071206,0.08886616459071206
26,secondary amine,14761.0,secondary amine,4.169115780235715,0.5030220463517026,0.5030220463517026
28,"carboxylic acid imide, N-unsubstituted",319.0,"carboxylic acid imide, N-unsubstituted",2.5037906830571814,0.6070230723954259,0.6070230723954259
30,alkene,15006.0,alkene,4.1762649421141465,1.20108424425925,1.20108424425925
32,oxo(het)arene,2637.0,oxo(het)arene,3.4211101297934343,2.582867508340952,2.582867508340952
33,primary aromatic amine,4559.0,primary aromatic amine,3.6588695922019614,0.8286210584035537,0.8286210584035537
34,phenol or hydroxyhetarene,3589.0,phenol or hydroxyhetarene,3.55497345833324,0.4619739598580473,0.4619739598580473
37,carboxylic acid amidine,2437.0,carboxylic acid amidine,3.3868555291847233,2.1749528814640535,2.1749528814640535
39,enamine,1530.0,enamine,3.184691430817599,2.2419246055113526,2.2419246055113526
43,secondary aliphatic/aromatic amine (alkylarylamine),1614.0,secondary aliphatic/aromatic amine (alkylarylamine),3.2079035303860515,0.5030220463517026,0.5030220463517026
44,alkyl aryl ether,1705.0,alkyl aryl ether,3.2317243833285163,0.08594786395087795,0.08594786395087795
45,guanidine,208.0,guanidine,2.318063334962761,8.270369913259723,8.270369913259723
46,isourea,576.0,isourea,2.7604224834232123,0.7725741123736952,0.7725741123736952
51,ketene acetal or derivative,9.0,ketene acetal or derivative,0.9542425094393248,1.8643166391534576,1.8643166391534576
52,nitro compound,139.0,nitro compound,2.143014800254095,5.5438727859200565,5.5438727859200565
53,imine,2.0,imine,0.3010299956639812,2.0383776052770126,2.0383776052770126
54,enol,12.0,enol,1.0791812460476249,0.7647516644282789,0.7647516644282789
