,count,functional_group,log_count
alkyne,17496,alkyne,4.242938770029581
carbonitrile,16421,carbonitrile,4.21539960109389
aldehyde,13514,aldehyde,4.130783914588957
primary alcohol,13199,primary alcohol,4.120541028862419
primary carboxylic acid amide,2256,primary carboxylic acid amide,3.3533390953113047
dialkyl ether,39673,dialkyl ether,4.598495042273587
heterocyclic compound,90651,heterocyclic compound,4.957372599298449
ketone,14478,ketone,4.160708572292429
urea,1196,urea,3.077731179652392
secondary alcohol,17761,secondary alcohol,4.2494674142722895
acyl cyanide,388,acyl cyanide,2.5888317255942073
primary amine,6846,primary amine,3.8354368948018585
primary aliphatic amine (alkylamine),2300,primary aliphatic amine (alkylamine),3.361727836017593
secondary carboxylic acid amide,5631,secondary carboxylic acid amide,3.7505855273410087
carboxylic acid ester,5290,carboxylic acid ester,3.7234556720351857
"1,2-diol",2877,"1,2-diol",3.458939861890326
tertiary amine,14371,tertiary amine,4.157486989384848
tertiary aliphatic amine (trialkylamine),13857,tertiary aliphatic amine (trialkylamine),4.141669216966209
oxime,1860,oxime,3.269512944217916
aromatic compound,20728,aromatic compound,4.316557399977769
tertiary alcohol,10797,tertiary alcohol,4.0333031013725735
tertiary carboxylic acid amide,3419,tertiary carboxylic acid amide,3.5338991007965945
imido ester,8184,imido ester,3.912965620704104
carbamic acid ester (urethane),880,carbamic acid ester (urethane),2.9444826721501687
lactam,4693,lactam,3.6714505542124947
lactone,3074,lactone,3.4877038631637265
secondary amine,14761,secondary amine,4.169115780235715
secondary aliphatic amine (dialkylamine),13147,secondary aliphatic amine (dialkylamine),4.11882666293329
"carboxylic acid imide, N-unsubstituted",319,"carboxylic acid imide, N-unsubstituted",2.503790683057181
"1,2-aminoalcohol",2749,"1,2-aminoalcohol",3.4391747398434687
alkene,15006,alkene,4.1762649421141465
acetal,2350,acetal,3.3710678622717363
oxo(het)arene,2637,oxo(het)arene,3.4211101297934343
primary aromatic amine,4559,primary aromatic amine,3.6588695922019623
phenol or hydroxyhetarene,3589,phenol or hydroxyhetarene,3.5549734583332397
carbamic acid,107,carbamic acid,2.0293837776852097
carboxylic acid salt,193,carboxylic acid salt,2.285557309007774
carboxylic acid amidine,2437,carboxylic acid amidine,3.386855529184724
"carboxylic acid imide, N-substituted",323,"carboxylic acid imide, N-substituted",2.509202522331103
enamine,1530,enamine,3.184691430817599
carbonic acid diester,154,carbonic acid diester,2.187520720836463
imino(het)arene,1798,imino(het)arene,3.25478968739721
"1,2-diphenol",48,"1,2-diphenol",1.6812412373755872
secondary aliphatic/aromatic amine (alkylarylamine),1614,secondary aliphatic/aromatic amine (alkylarylamine),3.2079035303860515
alkyl aryl ether,1705,alkyl aryl ether,3.2317243833285163
guanidine,208,guanidine,2.3180633349627615
isourea,576,isourea,2.760422483423212
carbonic acid monoester,27,carbonic acid monoester,1.4313637641589874
nitroso compound,20,nitroso compound,1.3010299956639813
tertiary aliphatic/aromatic amine (alkylarylamine),514,tertiary aliphatic/aromatic amine (alkylarylamine),2.710963118995276
alpha-aminoacid,11,alpha-aminoacid,1.041392685158225
ketene acetal or derivative,9,ketene acetal or derivative,0.9542425094393249
nitro compound,139,nitro compound,2.143014800254095
imine,2,imine,0.3010299956639812
enol,12,enol,1.0791812460476249
carbonic acid derivative,1,carbonic acid derivative,0.0
alpha-hydroxyacid,11,alpha-hydroxyacid,1.041392685158225
diazonium salt,1,diazonium salt,0.0
quaternary ammonium salt,2,quaternary ammonium salt,0.3010299956639812
