,Smiles_A,Smiles_B,natoms,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi
0,O=C1NCC=C1,O=C1NC=CC1,6.0,-1192.3350663700503,-1192.354795967102,0.019729597051764358,-1192.2124294531275,-1192.1377721672059,-0.07465728592160303,0.12263691692282919,0.21702379989619658,0.09438688297336739
1,CN(CC=C1)C1=O,CN(C=CC1)C1=O,7.0,-1488.7082602549215,-1488.8173999328612,0.10913967793976553,-1488.4372427653982,-1488.2936221847533,-0.14362058064489247,0.271017489523274,0.523777748107932,0.252760258584658
2,O=C(C1c2ccccc2)OC(c2ccccc2)=C1c1ccccc1,O=C(C(c1ccccc1)=C1c2ccccc2)OC1c1ccccc1,24.0,-4910.365178683647,-4804.513524581909,-105.85165410173795,-4914.559968186821,-4801.258255554199,-113.30171263262127,-4.194789503173524,3.255269027709801,7.450058530883325
3,O=C1OC=CC1,O=C1OCC=C1,6.0,-1122.5102030531766,-1122.4873836593629,-0.022819393813733768,-1124.2687230284705,-1124.2169762535095,-0.05174677496097502,-1.7585199752938934,-1.7295925941466521,0.02892738114724125
4,O=C1OC(c2ccccc2)=CC1,O=C(C=C1)OC1c1ccccc1,12.0,-2389.246058979196,-2381.728791595459,-7.5172673837369075,-2385.6260682520156,-2375.4211140518187,-10.20495420019688,3.619990727180266,6.307677543640239,2.6876868164599728
5,O=C1OCC=C1,O=C1OC=CC1,6.0,-1124.2687230284705,-1124.2171521949767,-0.051570833493769896,-1122.5102262716691,-1122.485888156891,-0.024338114778174713,1.758496756801378,1.7312640380857829,-0.027232718715595183
6,C/C=C/CC(C)=O,CC/C=C\C(C)=O,7.0,-1730.1282018284705,-1730.1513842468262,0.023182418355645495,-1731.2498129443582,-1731.2295535583496,-0.020259386008547153,-1.1216111158876174,-1.0781693115234248,0.04344180436419265
7,O=C1CC=CC1,OC1=CC=CC1,6.0,-1306.0781731113289,-1305.9048678016663,-0.1733053096625099,-1290.0820090379666,-1290.213176158905,0.13116712093847127,15.996164073362252,15.69169164276127,-0.30447243060098117
8,O=C1CC=CCC1,OC1=CC=CCC1,7.0,-1606.0957352533815,-1606.1798594512939,0.0841241979123879,-1592.2159150418358,-1592.123367805481,-0.09254723635490336,13.87982021154562,14.056491645812912,0.17667143426729126
9,Oc1ccc(CCCO2)c2n1,O=C1NC(OCCC2)=C2C=C1,11.0,-2230.974409741011,-2223.4462174987793,-7.528192242231853,-2237.0807522750592,-2228.5428899230956,-8.537862351963668,-6.1063425340480535,-5.096672424316239,1.0096701097318146
10,Oc1ccc(CCO2)c2n1,O=C1NC(OCC2)=C2C=C1,10.0,-1929.3786555809309,-1923.9748385009766,-5.403817079954251,-1932.4705079079883,-1929.4786394805908,-2.9918684273975487,-3.091852327057495,-5.503800979614198,-2.4119486525567027
