key,Unnamed: 0,Smiles_A,Smiles_B,natoms,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi,heavy_atoms,NHOHs,NOs,hetero_arom_rings,rings
a_1,0,O=C1NCC=C1,O=C1NC=CC1,6.0,-1192.3350663700505,-1192.354795967102,0.019729597051764358,-1192.2124294531275,-1192.1377721672059,-0.07465728592160302,0.1226369169228292,0.21702379989619655,0.0943868829733674,6.0,1.0,2.0,6.0,1.0
a_2,1,CN(CC=C1)C1=O,CN(C=CC1)C1=O,7.0,-1488.7082602549215,-1488.8173999328612,0.10913967793976552,-1488.4372427653982,-1488.293622184753,-0.14362058064489247,0.271017489523274,0.523777748107932,0.252760258584658,7.0,0.0,2.0,7.0,1.0
a_4,3,O=C1OC=CC1,O=C1OCC=C1,6.0,-1122.5102030531766,-1122.4873836593629,-0.022819393813733768,-1124.2687230284703,-1124.2169762535098,-0.05174677496097502,-1.7585199752938934,-1.729592594146652,0.02892738114724125,6.0,0.0,2.0,6.0,1.0
a_5,4,O=C1OC(c2ccccc2)=CC1,O=C(C=C1)OC1c1ccccc1,12.0,-2389.246058979196,-2381.728791595459,-7.5172673837369075,-2385.626068252016,-2375.4211140518187,-10.204954200196882,3.6199907271802663,6.307677543640238,2.6876868164599728,12.0,0.0,2.0,12.0,2.0
a_6,5,O=C1OCC=C1,O=C1OC=CC1,6.0,-1124.2687230284703,-1124.2171521949767,-0.051570833493769896,-1122.5102262716694,-1122.485888156891,-0.024338114778174717,1.758496756801378,1.7312640380857829,-0.027232718715595183,6.0,0.0,2.0,6.0,1.0
a_7,6,C/C=C/CC(C)=O,CC/C=C\C(C)=O,7.0,-1730.1282018284705,-1730.1513842468262,0.023182418355645492,-1731.2498129443582,-1731.2295535583496,-0.020259386008547157,-1.1216111158876174,-1.0781693115234248,0.04344180436419265,7.0,0.0,1.0,7.0,0.0
a_8,7,O=C1CC=CC1,OC1=CC=CC1,6.0,-1306.0781731113286,-1305.9048678016666,-0.1733053096625099,-1290.0820090379664,-1290.213176158905,0.13116712093847127,15.996164073362253,15.691691642761269,-0.3044724306009812,6.0,0.0,1.0,6.0,1.0
a_9,8,O=C1CC=CCC1,OC1=CC=CCC1,7.0,-1606.0957352533812,-1606.1798594512939,0.0841241979123879,-1592.2159150418356,-1592.123367805481,-0.09254723635490336,13.87982021154562,14.056491645812912,0.17667143426729126,7.0,0.0,1.0,7.0,1.0
a_10,9,Oc1ccc(CCCO2)c2n1,O=C1NC(OCCC2)=C2C=C1,11.0,-2230.974409741011,-2223.44621749878,-7.528192242231853,-2237.0807522750592,-2228.542889923096,-8.537862351963668,-6.1063425340480535,-5.096672424316238,1.0096701097318146,11.0,1.0,3.0,11.0,2.0
a_11,10,Oc1ccc(CCO2)c2n1,O=C1NC(OCC2)=C2C=C1,10.0,-1929.3786555809309,-1923.9748385009768,-5.403817079954251,-1932.4705079079886,-1929.4786394805908,-2.9918684273975487,-3.091852327057495,-5.503800979614198,-2.4119486525567027,10.0,1.0,3.0,10.0,2.0
a_12,11,CC(C)C1=C(C)CCC1,CC(CCC1)C1=C(C)C,9.0,-2523.4755465744956,-2523.432577171325,-0.04296940317044573,-2521.0323485242425,-2520.081244102478,-0.9511044217642848,2.443198050253613,3.3513330688474525,0.9081350185938392,9.0,0.0,0.0,9.0,1.0
a_14,13,CC(C)C1=C(C)CCCC1,CC(CCCC1)C1=C(C)C,10.0,-2821.9107128971173,-2820.5271628875735,-1.383550009544706,-2819.495648751749,-2818.2272560272218,-1.2683927245266204,2.4150641453693424,2.299906860351257,-0.11515728501808553,10.0,0.0,0.0,10.0,1.0
a_16,15,CC(C)C1=C(C)CCCCC1,CC(CCCCC1)C1=C(C)C,11.0,-3111.7989711099776,-3108.440946899414,-3.358024210563599,-3108.8856011841626,-3106.6878661193846,-2.197735064778044,2.9133699258150045,1.7530807800294497,-1.1602891457855549,11.0,0.0,0.0,11.0,1.0
a_18,17,CCC1=CCOC=C1,C/C=C1/C=COCC1,8.0,-1882.62304120272,-1882.6864784317013,0.0634372289816838,-1885.753279966007,-1885.7330808792115,-0.020199086795628318,-3.130238763287025,-3.0466024475097133,0.08363631577731212,8.0,0.0,1.0,8.0,1.0
a_19,18,CCC1=CCOc2c1cccc2,C/C=C1/c(cccc2)c2OCC1,12.0,-2697.5687706950494,-2683.207134910584,-14.361635784465307,-2697.6552589360103,-2685.155862602234,-12.499396333776074,-0.08648824096098906,-1.94872769165022,-1.8622394506892304,12.0,0.0,1.0,12.0,2.0
a_20,19,OC1=CCCC1,O=C1CCCC1,6.0,-1434.192588592098,-1433.8824918365478,-0.3100967555501484,-1452.5243173348385,-1452.5570951156617,0.03277778082315308,-18.33172874274055,-18.67460327911385,-0.34287453637330145,6.0,1.0,1.0,6.0,1.0
