,Smiles_A,Smiles_B,natoms,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi
0,O=C1NCC=C1,O=C1NC=CC1,6.0,-1172.7161084234097,-1172.6349244308471,-0.08118399256250086,-1171.9595766578368,-1172.0283662223817,0.06878956454488616,0.756531765572845,0.6065582084654579,-0.14997355710738702
1,CN(CC=C1)C1=O,CN(C=CC1)C1=O,7.0,-1466.1314437322,-1466.1236777458191,-0.007765986380945833,-1465.3267492918155,-1465.2552306632995,-0.07151862851605983,0.8046944403845373,0.8684470825196513,0.063752642135114
2,O=C(C1c2ccccc2)OC(c2ccccc2)=C1c1ccccc1,O=C(C(c1ccccc1)=C1c2ccccc2)OC1c1ccccc1,24.0,-4821.514003212676,-4757.202160263061,-64.3118429496144,-4826.261274759549,-4759.34090473938,-66.92037002016968,-4.74727154687389,-2.1387444763186068,2.608527070555283
3,O=C1OC=CC1,O=C1OCC=C1,6.0,-1099.478991269325,-1099.4362363815308,-0.04275488779421721,-1102.4066116991469,-1102.3141989326477,-0.09241276649913743,-2.9276204298219,-2.8779625511169797,0.04965787870492022
4,O=C1OC(c2ccccc2)=CC1,O=C(C=C1)OC1c1ccccc1,12.0,-2345.696553687054,-2342.21057862854,-3.485975058513759,-2341.6083859917003,-2335.5710754776,-6.037310514100227,4.088167695353604,6.639503150940072,2.551335455586468
5,O=C1OCC=C1,O=C1OC=CC1,6.0,-1102.4066116991469,-1102.3141109619141,-0.09250073723274,-1099.4790270383255,-1099.436412322998,-0.04261471532754513,2.927584660821367,2.877698638916172,-0.049886021905194866
6,C/C=C/CC(C)=O,CC/C=C\C(C)=O,7.0,-1709.5000149081225,-1709.4814287872314,-0.018586120891086466,-1710.8911041905326,-1711.1924595565795,0.3013553660468915,-1.391089282410121,-1.711030769348099,-0.31994148693797797
7,O=C1CC=CC1,OC1=CC=CC1,6.0,-1284.6843019860216,-1284.6894937934876,0.0051918074659624835,-1269.9917298911594,-1269.908035331726,-0.0836945594332974,14.692572094862271,14.781458461761531,0.08888636689925988
8,O=C1CC=CCC1,OC1=CC=CCC1,7.0,-1580.5293893302796,-1580.4322332458496,-0.09715608443002566,-1568.5317382115625,-1568.5637496871948,0.03201147563231643,11.997651118717158,11.868483558654816,-0.1291675600623421
9,Oc1ccc(CCCO2)c2n1,O=C1NC(OCCC2)=C2C=C1,11.0,-2189.602313615481,-2187.701245239258,-1.9010683762230656,-2195.9453391427273,-2194.3169962921143,-1.6283428506130804,-6.343025527246482,-6.615751052856467,-0.2727255256099852
10,Oc1ccc(CCO2)c2n1,O=C1NC(OCC2)=C2C=C1,10.0,-1892.4427385464558,-1891.8539085845948,-0.5888299618609381,-1896.1566028763905,-1895.822620262146,-0.33398261424440534,-3.7138643299347223,-3.968711677551255,-0.2548473476165327
11,CC(C)C1=C(C)CCC1,CC(CCC1)C1=C(C)C,9.0,-2492.5519521101273,-2492.2196811676026,-0.33227094252470124,-2489.482208804024,-2489.581262924194,0.09905412016996706,3.0697433061031916,2.6384182434085233,-0.4313250626946683
12,CC(C(C)=O)C1=C(C)CCC1,CC(CCC1)/C1=C(/C)\C(C)=O,11.0,-2756.032711592849,-2755.432338821411,-0.6003727714378329,-2751.9487119299333,-2751.7430221939085,-0.2056897360248513,4.08399966291563,3.6893166275026488,-0.39468303541298155
13,CC(C)C1=C(C)CCCC1,CC(CCCC1)C1=C(C)C,10.0,-2785.7139668100704,-2785.480150428772,-0.23381638129831117,-2783.534877180266,-2783.0583161315917,-0.4765610486742844,2.1790896298043663,2.4218342971803395,0.24274466737597322
14,CC(C(C)=O)C1=C(C)CCCC1,CC(CCCC1)/C1=C(/C)\C(C)=O,12.0,-3049.5482227551197,-3049.08427784729,-0.46394490782950015,-3046.0012786468533,-3046.4141901397707,0.41291149291737383,3.546944108266416,2.670087707519542,-0.876856400746874
15,CC(C)C1=C(C)CCCCC1,CC(CCCCC1)C1=C(C)C,11.0,-3070.6445574322715,-3071.1100382537843,0.46548082151275594,-3067.1951899618302,-3067.0510686035154,-0.14412135831480555,3.4493674704413024,4.058969650268864,0.6096021798275615
