,Smiles_A,Smiles_B,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi
0,O=C1NCC=C1,O=C1NC=CC1,-1172.7161084234097,-1182.74781841363,10.031709990220406,-1171.9595766578368,-1182.21094354899,10.251366891153111,0.756531765572845,0.53687486464014,-0.21965690093270496
1,CN(CC=C1)C1=O,CN(C=CC1)C1=O,-1466.1314437322,-1476.71975120114,10.588307468940002,-1465.3267492918155,-1475.75253194229,10.425782650474503,0.8046944403845373,0.9672192588500366,0.16252481846549927
2,O=C(C1c2ccccc2)OC(c2ccccc2)=C1c1ccccc1,O=C(C(c1ccccc1)=C1c2ccccc2)OC1c1ccccc1,-4821.514003212676,-4701.48470850633,-120.02929470634535,-4826.261274759549,-4694.13049931669,-132.13077544285989,-4.74727154687389,7.354209189640642,12.101480736514532
3,O=C1OC=CC1,O=C1OCC=C1,-1099.478991269325,-1109.90622373944,10.427232470115086,-1102.4066116991469,-1113.08920640821,10.682594709063096,-2.9276204298219,-3.1829826687699097,-0.2553622389480097
4,O=C1OC(c2ccccc2)=CC1,O=C(C=C1)OC1c1ccccc1,-2345.696553687054,-2355.07553172043,9.378978033375915,-2341.6083859917003,-2349.0867774954,7.4783915036996405,4.088167695353604,5.988754225029879,1.900586529676275
5,O=C1OCC=C1,O=C1OC=CC1,-1102.4066116991469,-1113.08938234623,10.682770647083089,-1099.4790270383255,-1109.90622373944,10.427196701114553,2.927584660821367,3.1831586067899025,0.25557394596853555
6,C/C=C/CC(C)=O,CC/C=C\C(C)=O,-1709.5000149081225,-1719.39299597558,9.89298106745764,-1710.8911041905326,-1720.74437589869,9.853271708157308,-1.391089282410121,-1.3513799231097892,0.039709359300331926
7,O=C1CC=CC1,OC1=CC=CC1,-1284.6843019860216,-1296.0902570675,11.405955081478396,-1269.9917298911594,-1280.31662195284,10.324892061680657,14.692572094862271,15.77363511466001,1.0810630197977389
8,O=C1CC=CCC1,OC1=CC=CCC1,-1580.5293893302796,-1590.70594706613,10.176557735850338,-1568.5317382115625,-1578.66650843342,10.13477022185748,11.997651118717158,12.039438632710016,0.041787513992858294
9,Oc1ccc(CCCO2)c2n1,O=C1NC(OCCC2)=C2C=C1,-2189.602313615481,-2199.76571773042,10.163404114939112,-2195.9453391427273,-2204.92298887817,8.97764973544281,-6.343025527246482,-5.15727114775018,1.1857543794963021
10,Oc1ccc(CCO2)c2n1,O=C1NC(OCC2)=C2C=C1,-1892.4427385464558,-1903.91010454365,11.467365997194293,-1896.1566028763905,-1906.15859242508,10.001989548689608,-3.7138643299347223,-2.2484878814300373,1.465376448504685
11,CC(C)C1=C(C)CCC1,CC(CCC1)C1=C(C)C,-2492.5519521101273,-2502.85167974153,10.299727631402675,-2489.482208804024,-2499.54650811864,10.06429931461571,3.0697433061031916,3.305171622890157,0.2354283167869653
12,CC(C(C)=O)C1=C(C)CCC1,CC(CCC1)/C1=C(/C)\C(C)=O,-2756.032711592849,-2766.0443997212,10.011688128351125,-2751.9487119299333,-2761.44854679173,9.499834861796899,4.08399966291563,4.5958529294698565,0.5118532665542261
13,CC(C)C1=C(C)CCCC1,CC(CCCC1)C1=C(C)C,-2785.7139668100704,-2796.21935340316,10.505386593089497,-2783.534877180266,-2793.29579134325,9.760914162984136,2.1790896298043663,2.9235620599097274,0.7444724301053611
14,CC(C(C)=O)C1=C(C)CCCC1,CC(CCCC1)/C1=C(/C)\C(C)=O,-3049.5482227551197,-3058.9442541906,9.396031435480381,-3046.0012786468533,-3056.08983577211,10.088557125256557,3.546944108266416,2.8544184184902406,-0.6925256897761756
15,CC(C)C1=C(C)CCCCC1,CC(CCCCC1)C1=C(C)C,-3070.6445574322715,-3080.09130030921,9.446742876938515,-3067.1951899618302,-3077.83753428722,10.642344325389786,3.4493674704413024,2.2537660219900317,-1.1956014484512707
16,CC(C)/C1=C(\C)/CCCCCC1,CC(CCCCCC1)C1=C(C)C,-3357.5496903336734,-3366.89525430008,9.345563966406644,-3358.1511382863664,-3368.06664962985,9.915511343483558,-0.601447952692979,-1.1713953297698936,-0.5699473770769146
17,CCC1=CCOC=C1,C/C=C1/C=COCC1,-1856.8301711719585,-1867.67003953647,10.83986836451163,-1860.8955772185461,-1871.5139333732,10.618356154653839,-4.065406046587668,-3.843893836729876,0.22151220985779219
18,CCC1=CCOc2c1cccc2,C/C=C1/c(cccc2)c2OCC1,-2656.4371584010837,-2663.72711702113,7.289958620046491,-2656.7644217369325,-2664.54558068501,7.781158948077518,-0.32726333584878375,-0.8184636638798111,-0.4912003280310273
19,OC1=CCCC1,O=C1CCCC1,-1412.9595125069097,-1422.38859549447,9.429082987560378,-1429.9016850150044,-1440.75133449512,10.849649480115659,-16.9421725080947,-18.36273900064998,-1.420566492555281
20,OC1=CCCCC1,O=C1CCCCC1,-1711.192076667449,-1721.28644093489,10.094364267440824,-1725.8443458595054,-1736.46215069234,10.617804832834508,-14.652269192056337,-15.175709757450022,-0.5234405653936847
21,OC1=CCCCCC1,O=C1CCCCCC1,-1998.345746541614,-2007.70597035448,9.360223812866025,-2012.8868481223708,-2023.06940597809,10.182557855719097,-14.541101580756731,-15.363435623609803,-0.8223340428530719
22,CCOC(C(CCC1)=C1O)=O,CCOC(C(CCC1)C1=O)=O,-2390.4762633910163,-2402.28110969301,11.80484630199362,-2390.070891805916,-2400.78792372669,10.717031920774389,0.40537158510051086,1.4931859663197429,1.087814381219232
23,CCOC(C(CCCC1)=C1O)=O,CCOC(C(CCCC1)C1=O)=O,-2687.8202591465524,-2698.71239207759,10.892132931037395,-2684.830079324201,-2694.55515262922,9.725073305019123,2.990179822351365,4.157239448369637,1.167059626018272
