key,Unnamed: 0,Smiles_A,Smiles_B,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi,heavy_atoms,NHOHs,NOs,hetero_arom_rings,rings
a_1,0,O=C1NCC=C1,O=C1NC=CC1,-1172.7161084234094,-1182.74781841363,10.031709990220406,-1171.9595766578368,-1182.21094354899,10.251366891153113,0.7565317655728451,0.53687486464014,-0.21965690093270496,6.0,1.0,2.0,6.0,1.0
a_2,1,CN(CC=C1)C1=O,CN(C=CC1)C1=O,-1466.1314437322,-1476.71975120114,10.588307468940002,-1465.3267492918155,-1475.75253194229,10.425782650474504,0.8046944403845373,0.9672192588500366,0.16252481846549927,7.0,0.0,2.0,7.0,1.0
a_4,3,O=C1OC=CC1,O=C1OCC=C1,-1099.478991269325,-1109.90622373944,10.427232470115086,-1102.4066116991467,-1113.08920640821,10.682594709063096,-2.9276204298219,-3.1829826687699097,-0.2553622389480097,6.0,0.0,2.0,6.0,1.0
a_5,4,O=C1OC(c2ccccc2)=CC1,O=C(C=C1)OC1c1ccccc1,-2345.6965536870543,-2355.07553172043,9.378978033375917,-2341.6083859917003,-2349.0867774954,7.47839150369964,4.0881676953536035,5.988754225029878,1.900586529676275,12.0,0.0,2.0,12.0,2.0
a_6,5,O=C1OCC=C1,O=C1OC=CC1,-1102.4066116991467,-1113.08938234623,10.682770647083089,-1099.4790270383257,-1109.90622373944,10.427196701114553,2.927584660821367,3.1831586067899025,0.25557394596853555,6.0,0.0,2.0,6.0,1.0
a_7,6,C/C=C/CC(C)=O,CC/C=C\C(C)=O,-1709.5000149081225,-1719.39299597558,9.89298106745764,-1710.8911041905326,-1720.7443758986901,9.853271708157306,-1.3910892824101209,-1.3513799231097892,0.039709359300331926,7.0,0.0,1.0,7.0,0.0
a_8,7,O=C1CC=CC1,OC1=CC=CC1,-1284.6843019860216,-1296.0902570675,11.405955081478396,-1269.9917298911596,-1280.31662195284,10.324892061680657,14.692572094862273,15.77363511466001,1.0810630197977389,6.0,0.0,1.0,6.0,1.0
a_9,8,O=C1CC=CCC1,OC1=CC=CCC1,-1580.5293893302796,-1590.70594706613,10.176557735850338,-1568.5317382115625,-1578.6665084334197,10.134770221857481,11.997651118717158,12.039438632710016,0.04178751399285829,7.0,0.0,1.0,7.0,1.0
a_10,9,Oc1ccc(CCCO2)c2n1,O=C1NC(OCCC2)=C2C=C1,-2189.602313615481,-2199.76571773042,10.163404114939114,-2195.9453391427273,-2204.9229888781697,8.97764973544281,-6.343025527246482,-5.15727114775018,1.185754379496302,11.0,1.0,3.0,11.0,2.0
a_11,10,Oc1ccc(CCO2)c2n1,O=C1NC(OCC2)=C2C=C1,-1892.442738546456,-1903.9101045436498,11.467365997194293,-1896.1566028763905,-1906.1585924250799,10.001989548689608,-3.713864329934722,-2.2484878814300373,1.4653764485046852,10.0,1.0,3.0,10.0,2.0
a_12,11,CC(C)C1=C(C)CCC1,CC(CCC1)C1=C(C)C,-2492.551952110128,-2502.85167974153,10.299727631402677,-2489.482208804024,-2499.54650811864,10.064299314615711,3.069743306103192,3.3051716228901564,0.2354283167869653,9.0,0.0,0.0,9.0,1.0
a_14,13,CC(C)C1=C(C)CCCC1,CC(CCCC1)C1=C(C)C,-2785.713966810071,-2796.2193534031603,10.505386593089495,-2783.534877180266,-2793.29579134325,9.760914162984136,2.1790896298043663,2.9235620599097274,0.7444724301053611,10.0,0.0,0.0,10.0,1.0
a_16,15,CC(C)C1=C(C)CCCCC1,CC(CCCCC1)C1=C(C)C,-3070.6445574322715,-3080.09130030921,9.446742876938515,-3067.1951899618302,-3077.83753428722,10.642344325389788,3.4493674704413024,2.253766021990032,-1.1956014484512707,11.0,0.0,0.0,11.0,1.0
a_18,17,CCC1=CCOC=C1,C/C=C1/C=COCC1,-1856.8301711719587,-1867.67003953647,10.83986836451163,-1860.8955772185461,-1871.5139333732,10.61835615465384,-4.065406046587668,-3.8438938367298765,0.22151220985779216,8.0,0.0,1.0,8.0,1.0
a_19,18,CCC1=CCOc2c1cccc2,C/C=C1/c(cccc2)c2OCC1,-2656.437158401084,-2663.72711702113,7.289958620046492,-2656.7644217369325,-2664.54558068501,7.781158948077517,-0.3272633358487837,-0.8184636638798111,-0.4912003280310273,12.0,0.0,1.0,12.0,2.0
a_20,19,OC1=CCCC1,O=C1CCCC1,-1412.9595125069095,-1422.3885954944699,9.429082987560378,-1429.9016850150047,-1440.7513344951199,10.849649480115659,-16.9421725080947,-18.36273900064998,-1.420566492555281,6.0,1.0,1.0,6.0,1.0
a_21,20,OC1=CCCCC1,O=C1CCCCC1,-1711.192076667449,-1721.2864409348902,10.094364267440824,-1725.8443458595057,-1736.4621506923402,10.617804832834507,-14.652269192056336,-15.175709757450022,-0.5234405653936847,7.0,1.0,1.0,7.0,1.0
a_22,21,OC1=CCCCCC1,O=C1CCCCCC1,-1998.345746541614,-2007.70597035448,9.360223812866023,-2012.8868481223706,-2023.06940597809,10.182557855719095,-14.541101580756733,-15.363435623609805,-0.8223340428530719,8.0,1.0,1.0,8.0,1.0
a_23,22,CCOC(C(CCC1)=C1O)=O,CCOC(C(CCC1)C1=O)=O,-2390.4762633910163,-2402.2811096930104,11.804846301993617,-2390.0708918059163,-2400.7879237266898,10.717031920774387,0.4053715851005109,1.4931859663197429,1.087814381219232,11.0,1.0,3.0,11.0,1.0
a_24,23,CCOC(C(CCCC1)=C1O)=O,CCOC(C(CCCC1)C1=O)=O,-2687.8202591465524,-2698.71239207759,10.892132931037397,-2684.830079324201,-2694.55515262922,9.725073305019123,2.990179822351365,4.157239448369636,1.167059626018272,12.0,1.0,3.0,12.0,1.0
a_27,24,CC(C(CCC1)=C1O)=O,CC(C(CCC1)C1=O)=O,-1977.2187509095786,-1987.58622632817,10.367475418591539,-1988.1207303564534,-1998.17153723474,10.050806878286721,-10.901979446874977,-10.585310906570157,0.3166685403048177,9.0,1.0,2.0,9.0,1.0
a_26,25,CC(C(CCCC1)=C1O)=O,CC(C(CCCC1)C1=O)=O,-2272.031823518739,-2282.3079189831897,10.276095464451373,-2281.815783185048,-2292.07881280031,10.26302961526244,-9.783959666308872,-9.770893817119939,0.013065849188933498,10.0,1.0,2.0,10.0,1.0
a_27,26,CC(C(CCC1)=C1O)=O,C/C(/O)=C(\CCC1)/C1=O,-1977.2187069827094,-1987.5658175179801,10.347110535270305,-1973.4973863804114,-1983.7328318384198,10.235445458008599,3.7213206022981917,3.832985679559897,0.11166507726170494,9.0,1.0,2.0,9.0,1.0
a_26,27,CC(C(CCCC1)=C1O)=O,C/C(/O)=C(\CCCC1)/C1=O,-2272.4067249170816,-2282.42051931528,10.01379439819857,-2264.5536473592665,-2274.8861495942897,10.33250223502364,7.8530775578151415,7.534369720990071,-0.31870783682506953,10.0,1.0,2.0,10.0,1.0
a_31,30,CC=O,C=CO,-674.0198720762622,-680.838787673387,6.818915597124602,-659.7915235313003,-664.837620715801,5.046097184500695,14.228348544962044,16.00116695758595,1.7728184126239055,3.0,0.0,1.0,3.0,0.0
a_32,31,CC(c1ccccc1)=O,C=C(c1ccccc1)O,-1922.0887148396616,-1932.47311409654,10.384399256878167,-1903.1637411733866,-1913.12538609712,9.961644923733731,18.924973666275488,19.34772799941993,0.42275433314443933,9.0,0.0,1.0,9.0,1.0
a_33,32,CCC(C)=O,C/C=C(/C)\O,-1267.7145816830048,-1276.7493906508198,9.034808967815252,-1252.8593396048975,-1260.93001165125,8.070672046352229,14.85524207810704,15.819378999570064,0.9641369214630232,5.0,0.0,1.0,5.0,0.0
a_34,33,CC(C)C=O,CC(C)=CO,-1261.4323208218532,-1270.0078856119699,8.575564790116914,-1246.7837069728612,-1253.81463832226,7.030931349398769,14.648613848992,16.193247289710143,1.5446334407181441,5.0,0.0,1.0,5.0,0.0
a_35,34,CC(C)C(C)=O,CC(C)=C(C)O,-1561.5851323957959,-1571.1231658734803,9.538033477683939,-1544.4653108419425,-1552.8287787931602,8.363467951217674,17.119821553853853,18.29438708032012,1.174565526466267,6.0,0.0,1.0,6.0,0.0
a_36,35,CC(C)C(c1ccccc1)=O,CC(C)=C(c1ccccc1)O,-2507.4653251248205,-2516.48019056086,9.0148654360396,-2490.242471843428,-2500.6482319929396,10.405760149511933,17.222853281392418,15.831958567920086,-1.3908947134723348,11.0,0.0,1.0,11.0,1.0
a_37,36,O=CCc1ccccc1,O/C=C\c1ccccc1,-1911.7809724360952,-1923.0238349779397,11.242862541844715,-1901.4726445501133,-1910.6251309106601,9.15248636054639,10.308327885981727,12.398704067280052,2.0903761812983253,9.0,0.0,1.0,9.0,1.0
a_38,37,CC(Cc1ccccc1)=O,C/C(/O)=C/c1ccccc1,-2212.248720838813,-2222.18444384958,9.935723010767106,-2199.8280558490646,-2208.58601843148,8.75796258241553,12.420664989748275,13.598425418099849,1.1777604283515757,10.0,0.0,1.0,10.0,1.0
a_39,38,O=C(Cc1ccccc1)c1ccccc1,O/C(/c1ccccc1)=C\c1ccccc1,-3157.927311827607,-3155.96668221214,-1.9606296154670415,-3146.095704903228,-3155.5919342319103,9.496229328681693,11.831606924378777,0.3747479802300404,-11.456858944148733,15.0,0.0,1.0,15.0,2.0
a_40,39,O=CC(c1ccccc1)c1ccccc1,OC=C(c1ccccc1)c1ccccc1,-3146.652936069053,-3138.59491410289,-8.058021966162869,-3139.6076912127705,-3128.5998752497,-11.007815963070698,7.045244856282352,9.99503885319018,2.9497939969078284,15.0,0.0,1.0,15.0,2.0
a_41,40,COCC(c1ccccc1)=O,CO/C=C(/c1ccccc1)\O,-2299.5253982655354,-2309.66522529261,10.139827027074718,-2287.9086495830247,-2299.87902486784,11.970375284814965,11.616748682510204,9.78620042476996,-1.8305482577402472,11.0,0.0,2.0,11.0,1.0
a_42,41,O=C(C1)Cc2c1cccc2,OC(C1)=Cc2c1cccc2,-2084.607048731377,-2097.05978794663,12.452739215253587,-2070.3566432501607,-2080.3402220734,9.983578823239439,14.250405481215696,16.71956587322984,2.469160392014146,10.0,0.0,1.0,10.0,2.0
a_43,42,O=C(CC1)c2c1cccc2,OC1=CCc2c1cccc2,-2088.94264895245,-2101.3118579871802,12.36920903472992,-2071.321135484068,-2082.51851068529,11.197375201222258,17.62151346838209,18.793347301889753,1.1718338335076623,10.0,0.0,1.0,10.0,2.0
a_33,43,CCC(C)=O,CCC(O)=C,-1267.7145597195704,-1276.74956658884,9.035006869269637,-1248.9938177579006,-1257.0585835145698,8.064765756669429,18.720741961669773,19.69098307426998,0.9702411126002062,5.0,0.0,1.0,5.0,0.0
a_45,44,O=CC1c(cccc2)c2-c2c1cccc2,OC=C1c(cccc2)c2-c2c1cccc2,-3028.811436407973,-3013.4853888695698,-15.326047538402689,-3023.7472099064794,-2996.12699204975,-27.620217856729603,5.064226501493521,17.358396819820427,12.294170318326906,15.0,0.0,1.0,15.0,3.0
a_46,45,CC(C1c(cccc2)c2-c2c1cccc2)=O,CC(O)=C1c(cccc2)c2-c2c1cccc2,-3328.5952672980825,-3298.60244913531,-29.99281816277244,-3319.147864638124,-3284.61608038555,-34.5317842525742,9.447402659958245,13.986368749760006,4.538966089801762,16.0,0.0,1.0,16.0,3.0
a_47,46,O=C(C1c(cccc2)c2-c2c1cccc2)c1ccccc1,OC(c1ccccc1)=C1c(cccc2)c2-c2c1cccc2,-4271.928706264509,-4186.37267304545,-85.55603321905892,-4264.617233829953,-4151.14143663858,-113.47579719137319,7.311472434555981,35.231236406870266,27.919763972314293,21.0,0.0,1.0,21.0,4.0
a_48,47,O=C(CC(N1)=O)NC1=O,OC(NC(N1)=O)=CC1=O,-1457.7652990832662,-1468.09183872374,10.326539640473813,-1439.2891362833884,-1449.6143881347698,10.325251851381836,18.47616279987801,18.47745058896999,0.0012877890919753554,9.0,2.0,5.0,9.0,1.0
a_49,48,CC(C(NC(N1)=O)=O)C1=O,CC(C(NC(N1)=O)=O)=C1O,-1752.0050137176954,-1763.0616919544,11.056678236704784,-1740.46476807116,-1750.27029422896,9.805526157799932,11.54024564653514,12.791397725439992,1.2511520789048518,10.0,2.0,5.0,10.0,1.0
a_50,49,CCC(C(NC(N1)=O)=O)C1=O,CCC(C(NC(N1)=O)=O)=C1O,-2044.3829168532534,-2056.07150768561,11.688590832356114,-2033.4735376115084,-2042.8875922400198,9.414054628511623,10.909379241745457,13.183915445589946,2.2745362038444905,11.0,2.0,5.0,11.0,1.0
a_51,50,CC(C)C(C(NC(N1)=O)=O)C1=O,CC(C)C(C(NC(N1)=O)=O)=C1O,-2336.099000829264,-2347.741907279,11.64290644973562,-2325.120993384138,-2333.23898450578,8.117991121642262,10.978007445126424,14.502922773219778,3.524915328093357,12.0,2.0,5.0,12.0,1.0
a_52,51,O=C(C(c1ccccc1)C(N1)=O)NC1=O,OC(NC(N1)=O)=C(c2ccccc2)C1=O,-2692.2747813265064,-2683.8083306213002,-8.466450705206626,-2678.4775837913244,-2679.03302091257,0.5554371212456317,13.797197535182024,4.775309708729765,-9.021887826452257,15.0,2.0,5.0,15.0,2.0
