,Smiles_A,Smiles_B,natoms,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi
0,O=C1NCC=C1,O=C1NC=CC1,6.0,-1129.4543820599863,-1129.4808810424804,0.026498982494103984,-1128.921515246134,-1128.9061682395934,-0.01534700654065091,0.5328668138522517,0.5747128028870065,0.041845989034754894
1,CN(CC=C1)C1=O,CN(C=CC1)C1=O,7.0,-1405.866687948102,-1405.8782403717041,0.011552423602097406,-1405.39295862366,-1405.36880185318,-0.02415677047997633,0.4737293244420471,0.5094385185241208,0.035709194082073736
2,O=C(C1c2ccccc2)OC(c2ccccc2)=C1c1ccccc1,O=C(C(c1ccccc1)=C1c2ccccc2)OC1c1ccccc1,24.0,-4652.789920908657,-4626.515653427124,-26.27426748153357,-4657.276684783347,-4625.9220269165035,-31.35465786684381,-4.486763874690041,0.5936265106201972,5.080390385310238
3,O=C1OC=CC1,O=C1OCC=C1,6.0,-1062.038231511808,-1062.3704715270997,0.3322400152917453,-1064.4341360117517,-1064.3255331115722,-0.10860290017944862,-2.3959044999437538,-1.9550615844725598,0.4408429154711939
4,O=C1OC(c2ccccc2)=CC1,O=C(C=C1)OC1c1ccccc1,12.0,-2264.5586041927454,-2264.4571178741453,-0.10148631860010937,-2259.914634837485,-2257.877786705017,-2.0368481324680943,4.643969355260197,6.5793311691281815,1.935361813867985
5,O=C1OCC=C1,O=C1OC=CC1,6.0,-1064.4341360117517,-1064.325357170105,-0.10877884164665375,-1062.038889787354,-1062.3656331367492,0.3267433493952012,2.3952462243976242,1.9597240333557693,-0.43552219104185497
6,C/C=C/CC(C)=O,CC/C=C\C(C)=O,7.0,-1629.5768096509953,-1630.8894309997559,1.3126213487605582,-1630.453307579852,-1632.8358714523315,2.3825638724795226,-0.8764979288566792,-1.9464404525756436,-1.0699425237189644
7,O=C1CC=CC1,OC1=CC=CC1,6.0,-1232.2934783548458,-1232.302218143463,0.008739788617276645,-1220.9968605396373,-1222.6584264678954,1.6615659282581419,11.296617815208492,9.643791675567627,-1.6528261396408652
8,O=C1CC=CCC1,OC1=CC=CCC1,7.0,-1511.1035757156997,-1510.9617448883057,-0.14183082739396013,-1502.254128822372,-1504.3394840011597,2.0853551787877223,8.849446893327695,6.6222608871460125,-2.2271860061816824
9,Oc1ccc(CCCO2)c2n1,O=C1NC(OCCC2)=C2C=C1,11.0,-2106.9331186311674,-2106.2743025894165,-0.6588160417509243,-2110.8854054583753,-2108.123799293518,-2.7616061648573123,-3.9522868272078995,-1.8494967041015116,2.102790123106388
10,Oc1ccc(CCO2)c2n1,O=C1NC(OCC2)=C2C=C1,10.0,-1826.8771510809618,-1826.2812274932862,-0.5959235876755429,-1828.3672665879135,-1826.1591241149902,-2.2081424729233277,-1.4901155069517245,0.12210337829606033,1.6122188852477848
11,CC(C)C1=C(C)CCC1,CC(CCC1)C1=C(C)C,9.0,-2363.8870104797547,-2363.909263847351,0.022253367596476892,-2360.950135286077,-2362.2993994216918,1.3492641356147033,2.936875193677679,1.6098644256594525,-1.3270107680182264
12,CC(C(C)=O)C1=C(C)CCC1,CC(CCC1)/C1=C(/C)\C(C)=O,11.0,-2623.7228582671887,-2623.5999252090455,-0.12293305814318956,-2618.9968266167853,-2620.583056869507,1.5862302527216343,4.726031650403456,3.0168683395386324,-1.7091633108648239
13,CC(C)C1=C(C)CCCC1,CC(CCCC1)C1=C(C)C,10.0,-2640.1340277156883,-2640.6544594573975,0.520431741709217,-2638.001287208534,-2638.7294838638304,0.728196655296415,2.132740507154267,1.9249755935670692,-0.20776491358719795
14,CC(C(C)=O)C1=C(C)CCCC1,CC(CCCC1)/C1=C(/C)\C(C)=O,12.0,-2900.37771326825,-2901.472377799988,1.0946645317380899,-2896.1722457706105,-2897.424844345093,1.252598574482363,4.205467497639347,4.047533454895074,-0.15793404274427303
15,CC(C)C1=C(C)CCCCC1,CC(CCCCC1)C1=C(C)C,11.0,-2908.766811589076,-2911.0265272979736,2.259715708897602,-2905.452765232951,-2908.9410930862427,3.488327853291594,3.3140463561248907,2.085434211730899,-1.228612144393992
16,CC(C)/C1=C(\C)/CCCCCC1,CC(CCCCCC1)C1=C(C)C,12.0,-3179.1231992242087,-3182.116084442139,2.992885217930052,-3180.0120343281505,-3179.2957427215574,-0.7162916065931313,-0.8888351039418012,2.820341720581382,3.7091768245231833
17,CCC1=CCOC=C1,C/C=C1/C=COCC1,8.0,-1772.2726956122924,-1775.4673963851928,3.1947007729004326,-1776.1066880074193,-1776.4760688171386,0.3693808097193596,-3.83399239512687,-1.0086724319457971,2.825319963181073
18,CCC1=CCOc2c1cccc2,C/C=C1/c(cccc2)c2OCC1,12.0,-2546.336757921936,-2544.947579498291,-1.3891784236452622,-2546.6132060275772,-2543.896681114197,-2.7165249133804537,-0.2764481056410659,1.0508983840941255,1.3273464897351914
