,Unnamed: 0,Smiles_A,Smiles_B,natoms,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi,n_atoms
0,0,O=C1NCC=C1,O=C1NC=CC1,6.0,-1172.7161084234094,-1172.6349244308474,-0.08118399256250086,-1171.9595766578368,-1172.0283662223815,0.06878956454488616,0.7565317655728451,0.6065582084654579,-0.14997355710738702,6
1,1,CN(CC=C1)C1=O,CN(C=CC1)C1=O,7.0,-1466.1314437322,-1466.1236777458194,-0.007765986380945833,-1465.3267492918155,-1465.2552306632995,-0.07151862851605982,0.8046944403845373,0.8684470825196513,0.06375264213511402,7
2,2,O=C(C1c2ccccc2)OC(c2ccccc2)=C1c1ccccc1,O=C(C(c1ccccc1)=C1c2ccccc2)OC1c1ccccc1,24.0,-4821.514003212676,-4757.202160263061,-64.3118429496144,-4826.2612747595485,-4759.34090473938,-66.92037002016968,-4.74727154687389,-2.1387444763186068,2.608527070555283,24
3,3,O=C1OC=CC1,O=C1OCC=C1,6.0,-1099.478991269325,-1099.4362363815308,-0.04275488779421721,-1102.4066116991467,-1102.3141989326475,-0.09241276649913743,-2.9276204298219,-2.87796255111698,0.04965787870492022,6
4,4,O=C1OC(c2ccccc2)=CC1,O=C(C=C1)OC1c1ccccc1,12.0,-2345.6965536870543,-2342.2105786285397,-3.485975058513759,-2341.6083859917003,-2335.5710754776,-6.037310514100227,4.0881676953536035,6.639503150940072,2.5513354555864685,12
5,5,O=C1OCC=C1,O=C1OC=CC1,6.0,-1102.4066116991467,-1102.3141109619141,-0.09250073723274,-1099.4790270383257,-1099.436412322998,-0.042614715327545134,2.927584660821367,2.8776986389161716,-0.04988602190519487,6
6,6,C/C=C/CC(C)=O,CC/C=C\C(C)=O,7.0,-1709.5000149081225,-1709.4814287872314,-0.018586120891086463,-1710.8911041905326,-1711.1924595565795,0.3013553660468915,-1.3910892824101209,-1.7110307693480993,-0.319941486937978,7
7,7,O=C1CC=CC1,OC1=CC=CC1,6.0,-1284.6843019860216,-1284.6894937934876,0.005191807465962484,-1269.9917298911596,-1269.908035331726,-0.0836945594332974,14.692572094862273,14.781458461761535,0.08888636689925987,6
8,8,O=C1CC=CCC1,OC1=CC=CCC1,7.0,-1580.5293893302796,-1580.4322332458496,-0.09715608443002566,-1568.5317382115625,-1568.5637496871948,0.03201147563231643,11.997651118717158,11.868483558654814,-0.1291675600623421,7
9,9,Oc1ccc(CCCO2)c2n1,O=C1NC(OCCC2)=C2C=C1,11.0,-2189.602313615481,-2187.7012452392582,-1.9010683762230656,-2195.9453391427273,-2194.3169962921147,-1.6283428506130804,-6.343025527246482,-6.615751052856468,-0.2727255256099852,11
