,n_atoms,n_C,n_N,n_O,n_H
0,6,4,1,1,5
1,7,5,1,1,7
2,24,22,0,2,16
3,6,4,0,2,4
4,12,10,0,2,8
5,6,4,0,2,4
6,7,6,0,1,10
7,6,5,0,1,6
8,7,6,0,1,8
9,11,8,1,2,9
10,10,7,1,2,7
11,9,9,0,0,16
12,11,10,0,1,16
13,10,10,0,0,18
14,12,11,0,1,18
15,11,11,0,0,20
16,12,12,0,0,22
17,8,7,0,1,10
18,12,11,0,1,12
19,6,5,0,1,8
20,7,6,0,1,10
21,8,7,0,1,12
22,11,8,0,3,12
23,12,9,0,3,14
24,9,7,0,2,10
25,10,8,0,2,12
26,9,7,0,2,10
27,10,8,0,2,12
28,11,9,0,2,12
29,10,8,0,2,10
30,3,2,0,1,4
31,9,8,0,1,8
32,5,4,0,1,8
33,5,4,0,1,8
34,6,5,0,1,10
35,11,10,0,1,12
36,9,8,0,1,8
37,10,9,0,1,10
38,15,14,0,1,12
39,15,14,0,1,12
40,11,9,0,2,10
41,10,9,0,1,8
42,10,9,0,1,8
43,5,4,0,1,8
44,15,14,0,1,10
45,16,15,0,1,12
46,21,20,0,1,14
47,9,4,2,3,4
48,10,5,2,3,6
49,11,6,2,3,8
50,12,7,2,3,10
51,15,10,2,3,8
52,10,8,0,2,12
53,12,10,0,2,16
54,17,15,0,2,10
55,12,10,0,2,8
56,23,21,0,2,16
57,9,7,1,1,13
58,17,12,2,3,12
59,18,13,2,3,14
60,17,15,1,1,17
61,21,19,1,1,17
62,18,16,1,1,19
63,6,4,2,0,6
64,11,9,2,0,8
65,12,10,2,0,10
66,11,9,1,1,7
67,12,10,1,1,9
68,12,7,1,4,9
69,4,3,0,1,6
70,6,5,0,1,10
71,7,6,0,1,12
72,7,6,0,1,10
73,11,10,0,1,10
74,6,5,0,1,8
75,11,9,0,2,10
76,12,8,1,3,7
77,14,12,0,2,10
78,15,13,1,1,11
79,15,13,1,1,11
80,15,13,1,1,11
81,15,12,2,1,10
82,14,11,0,3,12
83,15,13,1,1,11
84,15,13,1,1,11
85,15,13,1,1,11
86,15,12,2,1,10
87,14,12,1,1,11
88,19,16,2,1,12
89,17,13,1,3,11
90,19,17,1,1,13
91,19,15,1,3,15
92,10,8,1,1,9
93,17,11,3,3,11
94,13,11,1,1,15
95,6,4,0,2,8
96,5,3,0,2,6
97,4,2,1,1,5
98,5,3,1,1,7
99,11,8,0,3,8
100,12,9,1,2,7
101,8,6,0,2,6
102,12,10,0,2,8
103,8,5,0,3,8
104,8,5,1,2,5
105,6,4,0,2,6
106,8,6,0,2,8
107,9,7,0,2,6
108,8,6,0,2,8
109,7,5,0,2,6
110,8,5,0,3,6
111,11,9,0,2,6
112,7,4,0,3,4
113,7,4,0,3,4
114,9,6,0,3,8
115,9,6,1,2,9
116,8,7,0,1,12
117,8,7,0,1,8
118,7,6,0,1,6
119,7,6,0,1,6
120,11,10,0,1,8
121,11,10,0,1,8
122,15,14,0,1,10
123,23,22,0,1,14
124,11,8,1,2,7
125,17,14,2,1,20
126,9,7,1,1,13
127,13,11,1,1,19
128,10,8,1,1,13
129,8,5,1,2,5
130,10,8,0,2,6
131,16,14,0,2,10
132,10,8,0,2,6
133,10,8,1,1,7
134,6,4,0,2,4
135,6,4,1,1,5
136,7,5,1,1,7
137,10,8,0,2,6
138,10,8,1,1,7
139,11,9,1,1,9
140,18,15,1,2,11
141,8,5,1,2,7
142,10,7,2,1,12
143,19,16,2,1,14
144,8,5,2,1,8
145,10,7,2,1,12
146,18,15,1,2,11
147,8,5,1,2,7
148,9,6,2,1,10
149,7,3,3,1,5
150,7,3,3,1,5
151,8,5,1,2,7
152,8,4,3,1,7
153,12,11,0,1,14
154,16,14,0,2,10
155,7,6,1,0,11
156,6,5,1,0,9
157,11,10,1,0,13
158,11,9,2,0,12
159,18,15,2,1,12
160,11,10,1,0,11
161,16,12,4,0,12
162,18,13,4,1,14
163,7,5,1,1,9
164,9,5,3,1,7
165,9,7,1,1,11
166,8,5,1,2,9
167,8,5,2,1,12
168,7,6,1,0,7
169,7,6,1,0,11
170,7,6,1,0,7
171,7,6,1,0,9
172,11,10,1,0,9
173,11,10,1,0,11
174,11,10,1,0,9
175,11,10,1,0,11
176,5,4,1,0,5
177,9,8,1,0,7
178,12,10,1,1,11
179,12,10,2,0,12
180,13,11,2,0,14
181,10,8,2,0,8
182,11,9,2,0,10
183,6,4,2,0,6
184,8,6,2,0,6
185,16,14,2,0,10
186,12,8,4,0,6
187,13,12,1,0,9
188,11,7,3,1,7
189,14,10,2,2,8
190,15,11,2,2,10
191,7,6,1,0,7
192,15,14,1,0,11
193,11,9,2,0,8
194,7,5,1,1,7
195,16,14,2,0,12
196,8,4,4,0,8
197,3,2,1,0,5
198,3,1,1,1,3
199,3,1,1,1,3
200,3,1,1,1,3
201,4,1,1,2,3
202,4,0,2,2,2
203,6,4,2,0,10
204,11,9,2,0,12
205,8,6,2,0,14
206,8,6,2,0,14
207,10,7,3,0,9
208,5,3,1,1,7
209,5,2,1,2,5
210,6,3,1,2,7
211,7,4,1,2,9
212,7,4,1,2,9
213,11,8,1,2,9
214,10,7,1,2,13
215,5,1,2,2,4
216,5,4,1,0,7
217,10,6,4,0,2
218,8,5,2,1,4
219,4,2,2,0,4
220,14,10,3,1,15
221,13,10,3,0,15
222,15,9,4,2,12
223,12,9,3,0,13
224,7,5,0,2,8
225,6,2,1,3,3
226,6,2,2,2,4
227,6,2,1,3,3
228,6,2,2,2,4
229,4,3,1,0,7
230,8,6,0,2,8
231,8,6,2,0,10
232,10,6,0,4,8
233,11,7,0,4,12
234,11,5,4,2,4
235,8,5,0,3,6
236,8,5,0,3,6
237,8,5,0,3,6
238,19,15,0,4,10
239,14,10,0,4,6
240,9,6,0,3,6
241,13,10,0,3,8
242,9,6,0,3,6
243,13,9,0,4,10
244,15,11,0,4,8
245,12,8,0,4,8
246,15,9,0,6,8
247,12,8,0,4,8
248,8,5,1,2,5
249,8,5,1,2,5
250,13,8,1,4,9
251,10,6,2,2,4
252,12,7,1,4,7
253,12,9,1,2,7
254,7,5,0,2,6
255,7,5,0,2,4
256,11,9,0,2,6
257,7,4,0,3,4
258,8,5,1,2,7
259,9,5,0,4,6
260,19,15,2,2,12
261,38,30,4,4,22
262,9,5,0,4,4
263,10,6,0,4,6
264,11,7,0,4,8
265,11,7,0,4,8
266,13,8,0,5,10
267,13,8,0,5,10
268,10,6,1,3,7
269,10,6,1,3,7
270,17,13,1,3,13
271,10,4,1,5,3
272,10,4,1,5,3
273,11,7,0,4,6
274,11,7,0,4,8
275,14,9,0,5,12
276,13,9,1,3,13
277,13,9,1,3,13
278,13,8,1,4,9
279,13,8,1,4,9
280,22,17,2,3,14
281,12,9,0,3,12
282,9,6,0,3,6
283,10,7,0,3,6
284,14,11,0,3,8
285,8,5,0,3,4
286,12,8,0,4,8
287,14,9,1,4,5
288,11,7,1,3,9
289,13,10,1,2,9
290,9,6,0,3,6
291,13,10,0,3,8
292,16,13,2,1,10
293,16,12,2,2,8
294,18,15,0,3,10
295,20,15,0,5,10
296,13,8,2,3,8
297,10,6,1,3,7
298,9,6,0,3,6
299,8,5,0,3,4
300,15,10,2,3,10
301,12,8,3,1,5
302,12,7,1,4,9
303,10,6,2,2,8
304,10,6,1,3,7
305,12,7,2,3,10
306,10,5,1,4,5
307,11,7,2,2,10
308,12,10,0,2,10
309,15,10,1,4,9
310,14,11,0,3,12
311,10,7,0,3,10
312,20,17,0,3,14
313,10,7,0,3,10
314,12,8,1,3,7
315,9,6,0,3,10
316,13,9,1,3,9
317,11,8,0,3,10
318,6,4,0,2,6
319,13,11,0,2,12
320,14,7,3,4,13
321,10,7,0,3,10
322,15,12,0,3,12
323,12,8,0,4,12
324,9,6,0,3,8
325,14,12,0,2,18
326,13,9,1,3,7
327,10,6,1,3,9
328,9,5,1,3,7
329,8,5,1,2,7
330,9,7,1,1,9
331,8,6,1,1,7
332,11,7,0,4,10
333,14,10,0,4,14
334,7,3,3,1,5
335,7,5,2,0,8
336,11,9,2,0,8
337,9,6,2,1,10
338,6,3,3,0,5
339,9,7,2,0,6
340,6,4,2,0,6
341,10,6,2,2,10
342,10,8,2,0,14
343,14,12,2,0,14
344,9,7,2,0,12
345,6,4,2,0,6
346,6,4,2,0,6
347,6,4,2,0,6
348,6,4,2,0,6
349,6,4,2,0,6
350,7,5,1,1,7
351,6,4,1,1,5
352,10,8,1,1,7
353,12,9,3,0,9
354,6,3,2,1,4
355,11,8,1,2,7
356,7,5,2,0,6
357,8,5,3,0,7
358,10,7,2,1,8
359,15,12,2,1,10
360,10,5,3,2,5
361,11,9,2,0,8
362,21,18,3,0,19
363,21,18,3,0,13
364,7,4,3,0,5
365,11,8,3,0,7
366,7,5,1,1,5
367,15,13,2,0,10
368,12,10,2,0,20
369,22,20,2,0,24
370,20,16,3,1,17
371,10,7,3,0,15
372,20,15,4,1,16
373,23,18,4,1,20
374,23,18,4,1,16
375,21,16,4,1,14
376,24,18,4,2,16
377,25,17,5,3,17
378,25,15,7,3,11
379,26,16,7,3,13
380,24,15,6,3,14
381,30,19,9,2,17
382,32,20,8,4,20
383,10,7,2,1,8
384,16,13,3,0,13
385,19,16,3,0,13
386,23,20,3,0,15
387,19,16,3,0,13
388,22,18,3,1,17
389,21,16,3,2,13
390,21,16,3,2,13
391,8,6,1,1,9
392,8,6,1,1,9
393,8,6,1,1,9
394,7,5,1,1,9
395,13,10,2,1,10
396,13,10,2,1,10
397,13,10,2,1,10
398,17,15,1,1,17
399,15,13,1,1,11
400,15,13,1,1,11
401,19,17,1,1,13
402,19,17,1,1,13
403,19,17,1,1,13
404,15,13,1,1,11
405,15,13,1,1,11
406,19,17,1,1,13
407,19,17,1,1,13
408,10,8,1,1,13
409,10,8,1,1,13
410,15,12,2,1,14
411,17,14,2,1,18
412,13,10,2,1,10
413,8,5,2,1,6
414,13,9,3,1,9
415,13,9,3,1,9
416,13,8,4,1,8
417,13,7,5,1,9
418,13,7,5,1,9
419,8,5,2,1,8
420,15,13,1,1,9
421,15,13,1,1,9
422,15,12,2,1,8
423,18,15,2,1,14
424,16,12,2,2,8
425,25,19,4,2,18
426,25,19,5,1,15
427,10,7,2,1,6
428,16,13,2,1,16
429,12,9,1,2,15
430,10,7,1,2,9
431,8,4,2,2,6
432,8,4,2,2,6
433,13,9,2,2,8
434,9,5,2,2,8
435,7,3,1,3,3
436,7,5,2,0,8
437,7,5,1,1,5
438,7,5,1,1,7
439,8,5,2,1,6
440,9,7,1,1,9
441,17,11,1,5,13
442,8,5,2,1,6
443,10,5,2,3,4
444,8,6,1,1,7
445,8,6,1,1,7
446,13,11,1,1,9
447,13,11,1,1,9
448,10,7,1,2,7
449,10,7,1,2,7
450,11,7,1,3,7
451,11,7,1,3,7
452,11,7,2,2,8
453,11,7,2,2,8
454,9,6,1,2,7
455,9,6,1,2,7
456,11,7,1,3,7
457,11,7,1,3,7
458,14,11,1,2,9
459,14,11,1,2,9
460,9,6,2,1,4
461,9,6,2,1,4
462,10,5,2,3,4
463,11,9,1,1,7
464,12,10,1,1,9
465,12,10,1,1,9
466,12,9,2,1,8
467,12,9,2,1,8
468,17,15,1,1,11
469,17,15,1,1,11
470,14,11,1,2,11
471,14,11,1,2,11
472,15,11,1,3,9
473,15,11,1,3,9
474,15,11,2,2,12
475,15,11,2,2,12
476,13,10,1,2,9
477,13,10,1,2,9
478,15,11,1,3,9
479,15,11,1,3,9
480,18,15,1,2,11
481,18,15,1,2,11
482,13,10,2,1,6
483,13,10,2,1,6
484,14,9,2,3,6
485,14,9,2,3,6
486,8,5,1,2,5
487,16,13,1,2,9
488,15,13,1,1,9
489,7,4,2,1,4
490,11,8,2,1,6
491,11,8,2,1,6
492,16,12,1,3,11
493,20,17,1,2,15
494,18,12,1,5,15
495,29,23,1,5,21
496,29,21,3,5,19
497,19,15,3,1,11
498,19,15,3,1,11
499,16,12,2,2,8
500,18,14,2,2,12
501,18,14,2,2,12
502,13,12,1,0,11
503,12,9,1,2,11
504,9,7,2,0,6
505,10,6,2,2,6
506,12,9,1,2,11
507,15,13,1,1,11
508,10,6,2,2,6
509,8,6,1,1,11
510,8,6,1,1,11
511,11,7,2,2,14
512,10,6,1,3,11
513,14,10,2,2,20
514,10,6,2,2,12
515,8,4,2,2,8
516,8,5,3,0,9
517,8,5,3,0,9
518,15,8,5,2,11
519,15,7,6,2,10
520,12,9,1,2,13
521,22,17,3,2,15
522,15,11,1,3,9
523,16,12,2,2,12
524,10,7,1,2,11
525,10,7,1,2,11
526,10,6,2,2,8
527,10,4,4,2,10
528,14,8,4,2,10
529,7,4,2,1,8
530,8,4,4,0,4
531,10,6,3,1,7
532,16,10,1,5,15
533,16,10,2,4,16
534,15,9,1,5,13
535,16,13,2,1,12
536,13,7,5,1,11
537,15,9,3,3,9
538,18,12,3,3,15
539,14,10,1,3,11
540,14,10,1,3,11
541,12,7,3,2,9
542,14,12,1,1,11
543,18,14,1,3,13
544,13,11,2,0,8
545,19,16,2,1,12
546,18,13,2,3,12
547,17,12,2,3,12
548,14,11,2,1,8
549,19,13,2,4,12
550,17,12,1,4,11
551,15,11,1,3,9
552,19,13,4,2,12
553,19,12,5,2,11
554,16,13,1,2,13
555,13,11,2,0,8
556,16,12,2,2,12
557,13,10,3,0,7
558,14,11,2,1,10
559,15,11,2,2,10
560,20,16,2,2,12
561,16,11,5,0,7
562,16,10,6,0,6
563,18,12,4,2,10
564,18,11,5,2,9
565,22,17,4,1,12
566,22,16,5,1,11
567,18,13,2,3,14
568,16,12,2,2,12
569,13,8,1,4,11
570,13,8,2,3,12
571,14,11,2,1,10
572,14,10,3,1,9
573,16,14,1,1,13
574,17,9,5,3,9
575,23,20,2,1,14
576,16,10,3,3,13
577,18,12,3,3,11
578,21,14,4,3,12
579,13,7,2,4,8
580,14,10,2,2,8
581,14,10,2,2,8
582,14,9,3,2,7
583,10,5,3,2,5
584,18,15,1,2,13
585,24,20,2,2,16
586,12,9,2,1,8
587,12,9,2,1,8
588,11,8,3,0,5
589,15,12,3,0,7
590,16,13,2,1,10
591,19,15,2,2,14
592,19,13,2,4,16
593,17,11,2,4,12
594,18,12,2,4,14
595,19,13,2,4,16
596,20,14,2,4,18
597,21,17,2,2,22
598,15,10,3,2,13
599,21,14,3,4,19
600,23,15,2,6,18
601,23,15,2,6,18
602,18,12,2,4,14
