,natoms,CH,CN,CO,CC,NN,NO,NH,OH
0,6,4,2,1,3,0,0,1,0
1,7,7,3,1,3,0,0,0,0
2,24,16,0,3,24,0,0,0,0
3,6,4,0,3,3,0,0,0,0
4,12,8,0,3,10,0,0,0,0
5,6,4,0,3,3,0,0,0,0
6,7,10,0,1,5,0,0,0,0
7,6,6,0,1,5,0,0,0,0
8,7,8,0,1,6,0,0,0,0
9,11,8,2,3,7,0,0,0,1
10,10,6,2,3,6,0,0,0,1
11,9,16,0,0,9,0,0,0,0
12,11,16,0,1,10,0,0,0,0
13,10,18,0,0,10,0,0,0,0
14,12,18,0,1,11,0,0,0,0
15,11,20,0,0,11,0,0,0,0
16,12,22,0,0,12,0,0,0,0
17,8,10,0,2,6,0,0,0,0
18,12,12,0,2,11,0,0,0,0
19,6,7,0,1,5,0,0,0,1
20,7,9,0,1,6,0,0,0,1
21,8,11,0,1,7,0,0,0,1
22,11,11,0,4,7,0,0,0,1
23,12,13,0,4,8,0,0,0,1
24,9,9,0,2,7,0,0,0,1
25,10,11,0,2,8,0,0,0,1
26,9,9,0,2,7,0,0,0,1
27,10,11,0,2,8,0,0,0,1
28,11,11,0,2,10,0,0,0,1
29,10,9,0,2,9,0,0,0,1
30,3,4,0,1,1,0,0,0,0
31,9,8,0,1,8,0,0,0,0
32,5,8,0,1,3,0,0,0,0
33,5,8,0,1,3,0,0,0,0
34,6,10,0,1,4,0,0,0,0
35,11,12,0,1,10,0,0,0,0
36,9,8,0,1,8,0,0,0,0
37,10,10,0,1,9,0,0,0,0
38,15,12,0,1,15,0,0,0,0
39,15,12,0,1,15,0,0,0,0
40,11,10,0,3,8,0,0,0,0
41,10,8,0,1,10,0,0,0,0
42,10,8,0,1,10,0,0,0,0
43,5,8,0,1,3,0,0,0,0
44,15,10,0,1,16,0,0,0,0
45,16,12,0,1,17,0,0,0,0
46,21,14,0,1,23,0,0,0,0
47,9,2,4,3,2,0,0,2,0
48,10,4,4,3,3,0,0,2,0
49,11,6,4,3,4,0,0,2,0
50,12,8,4,3,5,0,0,2,0
51,15,6,4,3,9,0,0,2,0
52,10,12,0,2,8,0,0,0,0
53,12,16,0,2,10,0,0,0,0
54,17,10,0,2,17,0,0,0,0
55,12,8,0,2,11,0,0,0,0
56,23,16,0,2,23,0,0,0,0
57,9,13,2,1,5,0,0,0,0
58,17,11,4,4,10,0,0,1,0
59,18,13,4,4,11,0,0,1,0
60,17,17,2,1,15,0,0,0,0
61,21,17,2,1,20,0,0,0,0
62,18,19,2,1,16,0,0,0,0
63,6,5,2,0,3,1,0,1,0
64,11,7,2,0,9,1,0,1,0
65,12,9,2,0,10,1,0,1,0
66,11,6,2,1,9,0,0,0,1
67,12,8,2,1,10,0,0,0,1
68,12,9,1,5,5,0,1,0,0
69,4,6,0,1,2,0,0,0,0
70,6,10,0,1,4,0,0,0,0
71,7,12,0,1,5,0,0,0,0
72,7,10,0,1,6,0,0,0,0
73,11,10,0,1,11,0,0,0,0
74,6,8,0,1,5,0,0,0,0
75,11,10,0,3,8,0,0,0,0
76,12,7,1,1,8,0,2,0,0
77,14,10,0,3,12,0,0,0,0
78,15,11,2,1,13,0,0,0,0
79,15,11,2,1,13,0,0,0,0
80,15,11,2,1,13,0,0,0,0
81,15,10,4,1,11,0,0,0,0
82,14,12,0,4,10,0,0,0,0
